編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPUOMLTLIIPFFAD98CC,4,24.68,共有部分包括：樓梯間、梯廳,鋼筋混凝土構造,105年6月4日,二十七層,
RPVQMLTLIIPFFKD67CC,27,181.61,住宅、梯間。,鋼筋混凝土造,82年10月14日,五層,
RPRNMLKMIIPFFAD77CC,4,94.79,集合住宅,鋼筋混凝土構造,105年6月4日,二十七層,
RPRNMLKMIIPFFAD77CC,4,54.07,共有部分包括：樓梯間、門廳、公共服務空間、管理委員會使用空間、機械室、水箱、防空避難設備兼停車空間、停車空間。,鋼筋混凝土構造,105年6月4日,二十七層,
RPRNMLKMIIPFFAD77CC,4,24.68,共有部分包括：樓梯間、梯廳,鋼筋混凝土構造,105年6月4日,二十七層,
RPROMLKMIIPFFDD18CC,39,93.52,住家用,加強磚造,70年12月31日,二層,
RPWOMLKMIIPFFAD38CC,52,200.56,住商用,加強磚造,58年1月3日,三層,
RPWOMLMJJIPFFID56CC,54,113.27,住家用,鋼筋混凝土加強磚造,56年1月1日,二層,
RPWOMLMJJIPFFID56CC,43,120.96,住家用,加強磚造,67年1月1日,二層,
RPWNMLKMIIPFFCD48CC,26,91.17,住家用,鋼筋混凝土造,83年12月20日,六層,
RPWNMLKMIIPFFCD48CC,26,27.46,共有部分,鋼筋混凝土造,83年12月20日,六層,
RPVNMLMJJIPFFCD38CC,13,64.76,住家用,鋼筋混凝土造,96年9月6日,十四層,
RPVNMLMJJIPFFCD38CC,13,13.44,共有部分,鋼筋混凝土造,96年9月6日,十四層,
RPVNMLMJJIPFFCD38CC,13,11.09,共有部分,鋼筋混凝土造,96年9月6日,十四層,
RPWOMLMJJIPFFHD09CC,7,24.45,住家用,鋼筋混凝土造,102年11月26日,三層,
RPXPMLMJJIPFFHD66CC,13,996.33,店舖，住宅，門廊，騎樓,鋼骨鋼筋混凝土造,96年5月15日,四層,
RPOQMLMJJIPFFHD48CC,45,188.23,住家用,加強磚造,65年1月1日,三層,
RPUOMLNJJIPFFKD66CC,30,118.65,辦公室。,鋼骨造,79年12月5日,二十四層,
RPTOMLMJJIPFFKD09CC,30,182.73,住家用,鋼筋混凝土造,80年3月11日,三層,
RPVNMLNJJIPFFID66EC,43,9.00,住商用,加強磚造,66年8月19日,二層,
RPUNMLNJJIPFFID56EC,43,9.00,住商用,加強磚造,66年8月19日,二層,
RPWNMLNJJIPFFID76EC,43,9.00,住商用,加強磚造,66年8月19日,二層,
RPUOMLOJJIPFFAD38CC,5,88.81,集合住宅,鋼筋混凝土構造,104年11月5日,二十四層,
RPRNMLOJJIPFFCD18CC,28,93.49,住家用,鋼筋混凝土造,81年12月10日,八層,
RPUOMLOJJIPFFAD38CC,5,64.51,本共有部分之項目：有樓梯間、門廊、門廳、管委會使用空間、防災中心、停車空間、防空避難室、車道、游泳池、機房自來水池等項,鋼筋混凝土構造,104年11月5日,二十四層,
RPRNMLOJJIPFFCD18CC,28,29.35,共有部分,鋼筋混凝土造,81年12月10日,八層,
RPXOMLNJJIPFFAD58CC,14,62.56,店舖、住宅、停車空間,ＲＣ造,95年7月7日,四層,
RPQPMLNJJIPFFAD97CC,11,138.88,集合住宅,鋼筋混凝土造,98年9月8日,十九層,
RPQPMLNJJIPFFAD97CC,11,73.04,共有部分,鋼筋混凝土造,98年9月8日,十九層,
RPQPMLNJJIPFFAD97CC,11,18.33,共有部分,鋼筋混凝土造,98年9月8日,十九層,
RPXNMLOJJIPFFAD58CC,13,55.30,集合住宅,鋼筋混凝土構造,96年8月24日,十四層,
RPXNMLOJJIPFFAD58CC,13,7.49,共有部分,鋼筋混凝土構造,96年8月24日,十四層,
RPXNMLOJJIPFFAD58CC,13,11.77,共有部分,鋼筋混凝土構造,96年8月24日,十四層,
RPVNMLOJJIPFFCD58CC,38,107.55,住家用,鋼筋混凝土造,71年7月22日,五層,
RPVNMLOJJIPFFCD58CC,38,13.55,共有部分,鋼筋混凝土造,71年7月22日,五層,
RPQNMLOJJIPFFCD08CC,41,90.59,住商用,鋼筋混凝土造,68年8月20日,二層,
RPOOMLOJJIPFFCD97CC,35,105.82,住商用,鋼筋混凝土造,74年6月18日,三層,
RPPOMLOJJIPFFCD08CC,35,140.86,住商用,鋼筋混凝土造,74年6月18日,三層,
RPRPMLOJJIPFFKD56CC,22,303.93,門廊，廠房,鋼筋混凝土造,87年12月16日,二層,
RPTPMLOJJIPFFKD76CC,26,63.54,住商用,鋼筋混凝土造,83年9月22日,十四層,
RPTPMLOJJIPFFKD76CC,26,35.17,避難室、停車空間。,鋼筋混凝土造,83年9月22日,十四層,
RPTPMLOJJIPFFKD76CC,26,32.06,共有部分,鋼筋混凝土造,83年9月22日,十四層,
RPQOMLPJJIPFFKD09CC,28,98.82,辦公室。,鋼筋混凝土造,81年12月15日,二十二層,
RPUNMLPJJIPFFHD56DC,25,141.95,住家用,鋼筋混凝土造,84年12月20日,三層,
RPSOMLPJJIPFFCD48CC,27,253.63,住商用,鋼筋混凝土造,82年5月24日,五層,
RPVRMLPJJIPFFAD88CC,13,26.61,集合住宅,鋼筋混凝土構造,96年8月24日,十四層,
RPVRMLPJJIPFFAD88CC,13,3.58,共有部分,鋼筋混凝土構造,96年8月24日,十四層,
RPVRMLPJJIPFFAD88CC,13,6.87,共有部分,鋼筋混凝土構造,96年8月24日,十四層,
RPVNMLPJJIPFFCD68CC,40,99.34,住家用,鋼筋混凝土造,69年11月7日,四層,
RPVNMLPJJIPFFCD68CC,40,21.15,共有部分,鋼筋混凝土造,69年11月7日,四層,
RPUNMLPJJIPFFCD58CC,25,51.96,住家用,鋼筋混凝土造,84年12月21日,八層,
RPUNMLPJJIPFFCD58CC,25,9.93,共有部分,鋼筋混凝土造,84年12月21日,八層,
RPUNMLPJJIPFFCD58CC,25,5.00,共有部分,鋼筋混凝土造,84年12月21日,八層,
RPPOMLPJJIPFFKD98CC,23,162.76,住家用,鋼筋混凝土造,86年5月29日,二十層,
RPUQMLQJJIPFFAD78CC,3,47.06,住宅、停車空間,鋼筋混凝土構造,107年3月29日,四層,
RPTPMLPJJIPFFKD86CC,36,45.84,住家用,鋼筋混凝土造,73年10月29日,五層,
RPTPMLPJJIPFFKD86CC,36,7.02,共有部分,鋼筋混凝土造,73年10月29日,五層,
RPWNMLQJJIPFFHD76CC,41,74.72,住家用,加強磚造,68年12月15日,二層,
RPUTMLPJJIPFFAD98CC,46,112.52,住商用,加強磚造,63年7月9日,三層,
RPROMLQJJIPFFKD66CC,27,99.18,住家用,鋼筋混凝土造,82年7月31日,四層,
RPTOMLQJJIPFFKD86CC,31,150.77,住家用,鋼筋混凝土造,79年2月1日,二層,
RPWPMLTJJIPFFKD57CC,43,329.38,工業用,鋼造,67年2月25日,一層,
RPUOMLQJJIPFFKD96CC,,63.16,住家用,鋼筋混凝土構造,109年6月20日,五層,
RPUOMLQJJIPFFKD96CC,,21.98,本共有部分之項目有停車空間，管理維護使用空間，電信室，門廊，梯廳，昇降機道，梯間等７項,鋼筋混凝土構造,109年6月20日,五層,
RPVOMLQJJIPFFKD07CC,40,100.19,住商用,加強磚造,69年6月28日,二層,
RPQNMLSJJIPFFKD66CC,13,42.40,住商用,鋼筋混凝土造,96年7月31日,四層,
RPQNMLSJJIPFFKD66CC,13,36.07,住商用,鋼筋混凝土造,96年7月31日,四層,
RPQNMLSJJIPFFKD66CC,13,36.07,住商用,鋼筋混凝土造,96年7月31日,四層,
RPQNMLSJJIPFFKD66CC,13,18.80,住商用,鋼筋混凝土造,96年7月31日,四層,
RPQNMLSJJIPFFKD66CC,13,42.25,住商用,鋼筋混凝土造,96年7月31日,四層,
RPQOMLTJJIPFFCD78DC,61,169.66,住商用,加強磚造,49年4月30日,二層,
RPVOMLTJJIPFFBD09CC,2,162.78,集合住宅、停車空間,鋼筋混凝土造,108年1月14日,三層,
RPPNMLSJJIPFFKD56CC,13,42.34,住商用,鋼筋混凝土造,96年7月31日,四層,
RPPNMLSJJIPFFKD56CC,13,.94,住商用,鋼筋混凝土造,96年7月31日,四層,
RPSNMLTJJIPFFAD58CC,31,127.11,住家用,鋼筋混凝土造,78年5月20日,七層,
RPPOMLKKJIPFFHD28CC,1,266.21,店舖、住宅,鋼筋混凝土造,108年10月1日,四層,
RPSNMLTJJIPFFAD58CC,31,27.63,共有部分,鋼筋混凝土造,78年5月20日,七層,
RPXOMLKKJIPFFCD58CC,39,101.84,廠房、辦公室、宿舍、守衛室,鋼筋混凝土造,70年10月23日,三層,
RPSNMLKKJIPFFAD87DC,42,15.20,住家用,加強磚造,67年11月11日,二層,
RPPNMLKKJIPFFCD67CC,28,119.48,住商用,鋼筋混凝土造,82年4月23日,二層,
RPSNMLKKJIPFFID68DC,25,289.41,工商用,鋼造,84年9月21日,二層,
RPXOMLKKJIPFFKD76CC,,63.16,住家用,鋼筋混凝土構造,109年6月20日,五層,
RPXOMLKKJIPFFKD76CC,,30.29,本共有部分之項目有停車空間，管理維護使用空間，電信室，門廊，梯廳，昇降機道，梯間等７項,鋼筋混凝土構造,109年6月20日,五層,
RPPOMLLKJIPFFKD68CC,30,29.37,辦公室。,鋼筋混凝土造,80年3月15日,七層,
RPPOMLLKJIPFFKD68CC,30,11.70,共有部分,鋼筋混凝土造,80年3月15日,七層,
RPROMLLKJIPFFKD88CC,29,13.71,住家用,鋼筋混凝土造,80年10月22日,八層,
RPROMLLKJIPFFKD88CC,29,8.36,共有部分,鋼筋混凝土造,80年10月22日,八層,
RPUOMLLKJIPFFCD38CC,26,100.48,住家用,鋼筋混凝土造,83年11月7日,九層,
RPUOMLLKJIPFFCD38CC,26,49.90,共有部分,鋼筋混凝土造,83年11月7日,九層,
RPQOMLLKJIPFFKD78CC,25,33.76,住家用,鋼筋混凝土造,85年4月26日,十層,
RPQOMLLKJIPFFKD78CC,25,8.61,共有部分,鋼筋混凝土造,85年4月26日,十層,
RPQOMLLKJIPFFKD78CC,25,5.84,共有部分,鋼筋混凝土造,85年4月26日,十層,
RPVOMLLKJIPFFCD48CC,46,77.44,住家用,加強磚造,63年11月13日,二層,
RPXNMLLKJIPFFID66DC,5,83.87,集合住宅。,鋼筋混凝土造,104年12月30日,十四層,
RPXNMLLKJIPFFID66DC,5,47.47,本共有部分之項目有發電機室、台電配電場所、電錶室、電信室、安全梯、梯廳、電梯、消防機房、污水機房、水箱、停車空間、停車空間兼防空避難室、管理委員會空間、排煙室、緊急昇降梯。,鋼筋混凝土造,104年12月30日,十四層,
RPXNMLLKJIPFFID66DC,5,17.70,本共有部分之項目有安全梯、排煙室、緊急昇降梯、電梯、樓梯間、機房、水箱。,鋼筋混凝土造,104年12月30日,十四層,
RPTOMLLKJIPFFCD28CC,37,26.58,住家用,鋼筋混凝土造,72年9月8日,七層,
RPTOMLLKJIPFFCD28CC,37,12.62,共有部分,鋼筋混凝土造,72年9月8日,七層,
RPOOMLLKJIPFFAD57CC,36,22.98,住家用,鋼筋混凝土造,73年12月28日,十四層,
RPOOMLLKJIPFFAD57CC,36,7.75,共有部分,鋼筋混凝土造,73年12月28日,十四層,
RPROMLLKJIPFFAD87CC,36,28.51,住家用,鋼筋混凝土造,73年12月28日,十四層,
RPROMLLKJIPFFAD87CC,36,10.16,共有部分,鋼筋混凝土造,73年12月28日,十四層,
RPXNMLMKJIPFFBD58CC,13,453.42,住宅，停車空間,鋼筋混凝土造,96年10月3日,四層,
RPUOMLMKJIPFFCD48CC,9,87.03,停車空間、住宅、店舖,鋼筋混凝土造,100年9月16日,三層,
RPPNMLMKJIPFFKD68CC,41,72.16,住家用,鋼筋混凝土造,68年10月2日,四層,
RPVPMLMKJIPFFKD86CC,8,63.67,集合住宅,鋼筋混凝土構造,101年8月17日,十九層,
RPVPMLMKJIPFFKD86CC,8,31.75,防空避難室兼停車空間，機電設備，社區文康室，社區運動室，梯廳，機械室，水箱,鋼筋混凝土構造,101年8月17日,十九層,
RPTOMLNKJIPFFCD48CC,26,42.44,住家用,鋼筋混凝土造,83年10月29日,七層,
RPTOMLNKJIPFFCD48CC,26,10.45,共有部分,鋼筋混凝土造,83年10月29日,七層,
RPTOMLNKJIPFFCD48CC,26,6.81,共有部分,鋼筋混凝土造,83年10月29日,七層,
RPPOMLNKJIPFFAD87CC,32,22.21,住家用,鋼筋混凝土造,78年4月10日,五層,
RPPOMLNKJIPFFAD87CC,32,4.56,共有部分,鋼筋混凝土造,78年4月10日,五層,
RPSNMLNKJIPFFAD08CC,14,342.24,店舖、住宅,ＲＣ造,96年3月23日,四層,
RPSNMLNKJIPFFAD08CC,14,106.58,共有部分,ＲＣ造,96年3月23日,四層,
RPSNMLNKJIPFFAD08CC,14,51.48,共有部分,ＲＣ造,96年3月23日,四層,
RPRNMLNKJIPFFID78CC,27,181.53,工商用,鐵骨造、ＲＣ造,82年5月22日,三層,
RPWOMLQKJIPFFCD09CC,31,16.32,住家用,鋼筋混凝土造,78年12月20日,五層,
RPWOMLQKJIPFFCD09CC,31,7.46,共有部分,鋼筋混凝土造,78年12月20日,五層,
RPPPMLNKJIPFFAD97CC,19,230.12,店舖、住宅,鋼筋混凝土造,90年12月3日,四層,
RPVOMLQKJIPFFCD98CC,13,64.42,住家用,鋼筋混凝土造,96年9月6日,十四層,
RPVOMLQKJIPFFCD98CC,13,13.44,共有部分,鋼筋混凝土造,96年9月6日,十四層,
RPVOMLQKJIPFFCD98CC,13,13.44,共有部分,鋼筋混凝土造,96年9月6日,十四層,
RPXNMLQKJIPFFHD96CC,4,270.09,店舖、出租宿舍、停車空間,鋼筋混凝土造,105年9月9日,四層,
RPXNMLQKJIPFFHD96CC,4,270.09,店舖、出租宿舍、停車空間,鋼筋混凝土造,105年9月9日,四層,
RPRNMLOKJIPFFCD28CC,47,124.04,住商用,加強磚造,62年10月12日,二層,
RPSNMLQKJIPFFAD38CC,63,109.20,住商用,磚造,47年1月1日,三層,
RPOOMLQKJIPFFKD56DC,23,217.73,住商用,鋼筋混凝土造,87年4月21日,四層,
RPSNMLRKJIPFFHD56CC,2,192.98,住家用,鋼筋混凝土造,108年1月4日,四層,
RPTNMLQKJIPFFAD48CC,13,268.33,住宅、停車空間,鋼筋混凝土造,96年6月12日,四層,
RPUNMLRKJIPFFAD68CC,23,111.35,住家用,鋼筋混凝土造,86年10月22日,二十四層,
RPUNMLRKJIPFFAD68CC,23,30.39,共有部分,鋼筋混凝土造,86年10月22日,二十四層,
RPUNMLRKJIPFFAD68CC,23,16.91,共有部分,鋼筋混凝土造,86年10月22日,二十四層,
RPUNMLRKJIPFFAD68CC,23,.17,管理室,鋼筋混凝土造,86年10月22日,二十四層,
RPQTMLSKJIPFFAD98CC,4,75.45,集合住宅,鋼筋混凝土構造,106年1月24日,二十三層,
RPQTMLSKJIPFFAD98CC,4,67.30,本共有部分之項目：防空避難室、停車空間、機房、樓梯間、機械房、水箱、門廳、梯間、管委會使用空間、水池、防災中心等。,鋼筋混凝土構造,106年1月24日,二十六層,
RPPUMLRKJIPFFAD88CC,44,106.41,住商用,加強磚造,65年12月3日,二層,
RPUOMLSKJIPFFID07CC,44,99.72,住家用,加強磚造,65年10月1日,二層,
RPUTMLSKJIPFFAD76CC,24,87.85,住家用,鋼筋混凝土造,85年8月22日,十層,
RPUTMLSKJIPFFAD76CC,24,52.49,共有部分,鋼筋混凝土造,85年8月22日,十層,
RPRTMLSKJIPFFAD09CC,4,58.14,集合住宅,鋼筋混凝土構造,105年11月9日,二十七層,
RPRTMLSKJIPFFAD09CC,4,28.17,本共有部分之項目有：樓梯間、機房、水箱、特別安全梯、梯廳、排煙管道、排煙室、行動不便電梯、緊急升降機、管道間、進風管道、防空避難室、停車空間、管委會使用空間,鋼筋混凝土構造,105年11月9日,二十七層,
RPTTMLSKJIPFFAD66CC,4,58.92,集合住宅,鋼筋混凝土構造,106年1月24日,二十三層,
RPTTMLSKJIPFFAD66CC,4,28.41,本共有部分之項目：防空避難室、停車空間、機房、樓梯間、機械房、水箱、門廳、梯間、管委會使用空間、水池、防災中心等。,鋼筋混凝土構造,106年1月24日,二十六層,
RPWOMLSKJIPFFKD47CC,14,216.95,住家用,鋼筋混凝土造,96年2月15日,四層,
RPXOMLSKJIPFFKD57CC,27,25.56,住家用,鋼筋混凝土造,82年12月30日,九層,
RPXOMLSKJIPFFKD57CC,27,13.24,共有部分,鋼筋混凝土造,82年12月30日,九層,
RPVOMLSKJIPFFKD37CC,26,40.48,辦公室。,鋼筋混凝土造,84年3月31日,十五層,
RPVOMLSKJIPFFKD37CC,26,8.86,共有部分,鋼筋混凝土造,84年3月31日,十五層,
RPOPMLSKJIPFFKD76CC,26,178.40,住家用,鋼筋混凝土造,83年10月6日,十二層,
RPOPMLTKJIPFFGD09CC,26,33.91,住家用,鋼筋混凝土造,84年5月1日,六層,
RPOPMLTKJIPFFGD09CC,26,8.46,共有部分,鋼筋混凝土造,84年5月1日,六層,
RPOPMLSKJIPFFKD76CC,26,27.46,共有部分,鋼筋混凝土造,83年10月20日,十二層,
RPTOMLTKJIPFFGD86CC,30,291.97,住商用,鋼筋混凝土造,79年11月30日,三層,
RPOOMLTKJIPFFID56CC,30,610.43,工業用,鋼筋混凝土加強磚造,80年5月6日,二層,
RPOOMLTKJIPFFID56CC,30,606.80,防空避難室、宿舍、辦公室、停車場,鋼筋混凝土造,80年5月6日,四層,
RPTNMLTKJIPFFID96CC,1,96.54,集合住宅,鋼筋混凝土構造,108年12月12日,五層,
RPTNMLTKJIPFFID96CC,1,43.77,本共有部分之項目有門廊、安全梯、停車空間、管理室、樓梯間、梯廳、昇降機間、電信室等８項,鋼筋混凝土構造,108年12月12日,五層,
RPTOMLKLJIPFFCD28CC,21,58.25,住家用,鋼筋混凝土造,89年2月2日,八層,
RPTOMLKLJIPFFCD28CC,21,14.57,共有部分,鋼筋混凝土造,89年2月2日,八層,
RPPNMLKLJIPFFCD77CC,30,20.04,商業用,鋼筋混凝土造,79年9月26日,十二層,
RPPNMLKLJIPFFCD77CC,30,10.57,共有部分,鋼筋混凝土造,79年9月26日,十二層,
RPQNMLMLJIPFFAD87CC,53,183.10,住家用,加強磚造,56年6月22日,五層,
RPTNMLKLJIPFFAD97CC,30,54.97,住商用,鋼筋混凝土造,80年2月12日,五層,
RPTNMLKLJIPFFAD97CC,30,19.19,共有部分,鋼筋混凝土造,80年2月12日,五層,
RPOOMLNLJIPFFCD08CC,14,8.80,共有部分,ＲＣ造,95年11月22日,十三層,
RPOOMLNLJIPFFCD08CC,14,62.30,住家用,ＲＣ造,95年11月22日,十三層,
RPOOMLNLJIPFFCD08CC,14,33.89,共有部分,ＲＣ造,95年11月22日,十三層,
RPOSMLNLJIPFFAD28CC,28,81.11,住商用,鋼筋混凝土造,82年1月7日,六層,
RPOSMLNLJIPFFAD28CC,28,7.97,共有部分,鋼筋混凝土造,82年1月7日,六層,
RPOSMLNLJIPFFAD28CC,28,8.29,共有部分,鋼筋混凝土造,82年1月7日,六層,
RPXQMLNLJIPFFAD98CC,41,18.51,商業用,鋼筋混凝土造,68年12月14日,三層,
RPOQMLNLJIPFFHD78CC,2,56.22,集合住宅,鋼筋混凝土造,107年6月28日,七層,
RPWNMLNLJIPFFBD68CC,8,226.15,住家用,鋼筋混凝土造,101年11月5日,四層,
RPWNMLNLJIPFFBD68CC,8,.39,本共有部份之項目有垃圾處理空間，管理維護空間等二項,鋼筋混凝土造,101年11月5日,一層,
RPXNMLNLJIPFFBD78CC,8,26.45,集合住宅，停車空間,鋼筋混凝土造,101年12月4日,四層,
RPVPMLNLJIPFFKD17DC,24,86.72,住家用,鋼筋混凝土造,85年5月22日,十六層,
RPVPMLNLJIPFFKD17DC,24,36.50,共有部分,鋼筋混凝土造,85年5月22日,十六層,
RPXQMLNLJIPFFKD37CC,10,19.84,住宅，停車空間,鋼筋混凝土造,99年12月30日,四層,
RPVOMLOLJIPFFKD07CC,13,109.87,住家用,鋼筋混凝土造,96年9月20日,十四層,
RPVOMLOLJIPFFKD07CC,13,67.84,共有部分,鋼筋混凝土造,96年9月20日,十四層,
RPVOMLOLJIPFFID86CC,34,311.10,住工用,鋼筋混凝土加強磚造,75年5月30日,二層,
RPPUMLOLJIPFFKD07CC,22,24.13,一般事務所。,鋼筋混凝土造,87年10月26日,十一層,
RPUOMLOLJIPFFKD96CC,21,16.92,住家用,鋼筋混凝土造,88年8月24日,十四層,
RPUOMLOLJIPFFKD96CC,21,.39,共有部分,鋼筋混凝土造,88年8月24日,十四層,
RPUOMLOLJIPFFKD96CC,21,.70,共有部分,鋼筋混凝土造,88年8月24日,十四層,
RPUOMLOLJIPFFKD96CC,21,4.23,共有部分,鋼筋混凝土造,88年8月24日,十四層,
RPRNMLOLJIPFFID98CC,25,55.33,住商用,鋼筋混凝土造,84年8月29日,九層,
RPRNMLOLJIPFFID98CC,25,28.44,共有部分,鋼筋混凝土造,84年8月29日,九層,
RPRNMLOLJIPFFCD38CC,16,44.92,店舖、住宅、停車空間,ＲＣ造,93年8月11日,四層,
RPQNMLOLJIPFFCD28CC,25,55.88,住家用,鋼筋混凝土造,84年11月15日,二十三層,
RPQNMLOLJIPFFCD28CC,25,4.89,共有部分,鋼筋混凝土造,84年11月15日,二十三層,
RPQNMLOLJIPFFCD28CC,25,15.31,共有部分,鋼筋混凝土造,84年11月15日,二十三層,
RPQNMLOLJIPFFCD28CC,25,2.32,共有部分,鋼筋混凝土造,84年11月15日,二十三層,
RPVNMLOLJIPFFCD78CC,39,85.86,住家用,鋼筋混凝土造,70年9月4日,五層,
RPVNMLOLJIPFFCD78CC,39,1.16,共有部分,鋼筋混凝土造,70年9月4日,五層,
RPTOMLOLJIPFFCD68CC,27,87.48,住商用,鋼筋混凝土造,83年4月1日,十四層,
RPTOMLOLJIPFFCD68CC,27,16.42,共有部分,鋼筋混凝土造,83年4月1日,十四層,
RPPOMLOLJIPFFCD28CC,40,125.28,住家用,鋼筋混凝土造,69年12月4日,三層,
RPVOMLOLJIPFFCD88CC,21,91.94,集合住宅,鋼筋混凝土造,88年11月16日,十二層,
RPVOMLOLJIPFFCD88CC,21,.21,集合住宅,鋼筋混凝土造,88年11月16日,十二層,
RPVOMLOLJIPFFCD88CC,21,21.57,共有部分,鋼筋混凝土造,88年11月16日,十二層,
RPVOMLOLJIPFFCD88CC,21,15.88,共有部分,鋼筋混凝土造,88年11月16日,十二層,
RPXNMLOLJIPFFAD78CC,39,42.07,住家用,鋼筋混凝土造,70年7月20日,五層,
RPXNMLOLJIPFFAD78CC,39,9.29,共有部分,鋼筋混凝土造,70年7月20日,五層,
RPWOMLOLJIPFFCD98CC,38,87.02,集合住宅,鋼筋混凝土造,71年12月10日,五層,
RPWOMLOLJIPFFCD98CC,38,6.23,共有部分,鋼筋混凝土造,71年12月10日,五層,
RPVOMLOLJIPFFAD68CC,30,304.80,住商用,鋼筋混凝土造,80年4月2日,四層,
RPTOMLOLJIPFFAD48CC,25,34.95,住家用,鋼筋混凝土造,84年10月24日,十三層,
RPROMLOLJIPFFAD28CC,13,26.61,集合住宅,鋼筋混凝土構造,96年8月24日,十四層,
RPTOMLOLJIPFFAD48CC,25,9.36,共有部分,鋼筋混凝土造,84年10月24日,十三層,
RPROMLOLJIPFFAD28CC,13,3.59,共有部分,鋼筋混凝土構造,96年8月24日,十四層,
RPROMLOLJIPFFAD28CC,13,6.87,共有部分,鋼筋混凝土構造,96年8月24日,十四層,
RPOQMLOLJIPFFAD18CC,35,94.33,住家用,鋼筋混凝土造,75年1月11日,二層,
RPWOMLOLJIPFFAD78CC,27,100.53,住家用,鋼筋混凝土造,82年6月12日,十二層,
RPWOMLOLJIPFFAD78CC,27,23.17,共有部分,鋼筋混凝土造,82年6月12日,十二層,
RPWNMLPLJIPFFAD78CC,13,49.93,集合住宅,鋼筋混凝土構造,96年8月24日,十四層,
RPWNMLPLJIPFFAD78CC,13,6.74,共有部分,鋼筋混凝土構造,96年8月24日,十四層,
RPWNMLPLJIPFFAD78CC,13,10.58,共有部分,鋼筋混凝土構造,96年8月24日,十四層,
RPOOMLPLJIPFFAD08CC,13,94.87,店舖、辦公室,鋼筋混凝土構造,96年8月24日,十四層,
RPOOMLPLJIPFFAD08CC,13,22.52,共有部分,鋼筋混凝土構造,96年8月24日,十四層,
RPOOMLPLJIPFFAD08CC,13,15.66,共有部分,鋼筋混凝土構造,96年8月24日,十四層,
RPPOMLPLJIPFFAD18CC,13,70.95,店舖、辦公室,鋼筋混凝土構造,96年8月24日,十四層,
RPPOMLPLJIPFFAD18CC,13,22.52,共有部分,鋼筋混凝土構造,96年8月24日,十四層,
RPPOMLPLJIPFFAD18CC,13,15.66,共有部分,鋼筋混凝土構造,96年8月24日,十四層,
RPWOMLPLJIPFFAD88CC,25,36.38,住商用,鋼筋混凝土造,84年6月15日,五層,
RPROMLPLJIPFFHD09CC,44,111.13,住商用,加強磚造,65年7月1日,二層,
RPOOMLPLJIPFFCD28CC,13,28.99,住家用,鋼筋混凝土造,97年2月29日,十四層,
RPOOMLPLJIPFFCD28CC,13,32.95,共有部分,鋼筋混凝土造,97年2月29日,十四層,
RPOOMLPLJIPFFCD28CC,13,8.57,共有部分,鋼筋混凝土造,97年2月29日,十四層,
RPQPMLPLJIPFFAD48DC,55,77.03,住家用,加強磚造,55年1月1日,二層,
RPXNMLQLJIPFFHD07CC,37,113.44,住家用,鋼筋混凝土造,73年1月11日,二層,
RPVOMLPLJIPFFCD09DC,37,82.28,住家用,鋼筋混凝土造,73年1月10日,五層,
RPRPMLPLJIPFFAD58DC,42,86.23,住家用,加強磚造,67年12月7日,二層,
RPVOMLPLJIPFFCD09DC,37,8.77,共有部分,鋼筋混凝土造,73年1月11日,五層,
RPVOMLPLJIPFFCD09DC,37,8.99,共有部分,鋼筋混凝土造,73年1月11日,五層,
RPPPMLQLJIPFFKD76CC,28,62.45,住家用,鋼筋混凝土造,82年3月10日,十層,
RPPPMLQLJIPFFKD76CC,28,17.70,共有部分,鋼筋混凝土造,82年3月10日,十一層,
RPPPMLQLJIPFFKD76CC,28,13.30,共有部分,鋼筋混凝土造,82年3月10日,十一層,
RPOPMLPLJIPFFAD28DC,34,143.01,住家用,鋼筋混凝土造,75年8月8日,五層,
RPOPMLPLJIPFFAD28DC,34,6.49,共有部分,鋼筋混凝土造,75年8月8日,五層,
RPPNMLQLJIPFFCD38CC,27,103.72,住家用,鋼筋混凝土造,83年5月19日,八層,
RPPNMLQLJIPFFCD38CC,27,54.32,共有部分,鋼筋混凝土造,83年5月19日,八層,
RPRNMLQLJIPFFCD58CC,48,99.22,住家用,加強磚造,61年12月11日,二層,
RPUNMLQLJIPFFAD68CC,31,42.03,住家用,鋼筋混凝土造,78年10月2日,十二層,
RPUNMLQLJIPFFAD68CC,31,10.32,共有部分,鋼筋混凝土造,78年10月2日,十二層,
RPUNMLQLJIPFFAD68CC,31,21.29,共有部分,鋼筋混凝土造,78年10月2日,十二層,
RPWNMLQLJIPFFAD88CC,44,99.93,住商用,加強磚造,66年5月5日,二層,
RPXNMLQLJIPFFAD98CC,45,218.04,住商用,鋼筋混凝土造,64年10月7日,三層,
RPRNMLRLJIPFFCD68CC,36,52.89,住家用,鋼筋混凝土造,74年4月27日,七層,
RPQOMLQLJIPFFAD38CC,4,93.96,集合住宅,鋼筋混凝土構造,106年1月19日,十四層,
RPQOMLQLJIPFFAD38CC,4,68.21,本共有部分之項目有：防空避難室兼停車空間、停車空間、車道、外廊、管委會使用空間、梯廳、排煙室、樓梯間、垃圾暫存空間、機械室、水箱、門廊、昇降梯間、陽台等。,鋼筋混凝土構造,106年1月19日,十四層,
RPUOMLRLJIPFFKD27CC,6,23.15,停車空間，住宅,鋼筋混凝土構造,103年7月15日,四層,
